sample_id,method,condition,label,target,deletion_auc,insertion_auc
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,spinal_canal_stenosis,0,0,0.9415614113211632,0.9967899098992348
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam++,spinal_canal_stenosis,0,0,0.9522026017308235,0.9942598775029183
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,spinal_canal_stenosis,0,0,0.909325422346592,0.9965384081006051
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,spinal_canal_stenosis,0,0,0.7855970919132231,0.9859849601984023
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam++,spinal_canal_stenosis,0,0,0.8452094316482544,0.9722502678632736
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,spinal_canal_stenosis,0,0,0.7006054371595382,0.980752605199814
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,spinal_canal_stenosis,0,0,0.5650026828050613,0.9723702758550644
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam++,spinal_canal_stenosis,0,0,0.7099228858947753,0.9439865440130234
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,spinal_canal_stenosis,0,0,0.4804555632174015,0.9607538431882857
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,spinal_canal_stenosis,0,0,0.4122538208961487,0.9505220249295234
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam++,spinal_canal_stenosis,0,0,0.6203729510307312,0.839723739027977
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,spinal_canal_stenosis,0,0,0.3356875915080308,0.9161796718835831
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,spinal_canal_stenosis,0,0,0.6861079171299934,0.9789079293608666
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam++,spinal_canal_stenosis,0,0,0.845240391790867,0.940511853992939
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,spinal_canal_stenosis,0,0,0.6535568833351137,0.9754087433218956
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam,right_neural_foraminal_narrowing,1,0,0.4610703416168689,0.48401036337018005
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam++,right_neural_foraminal_narrowing,1,0,0.46861791685223575,0.46467365764547136
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,integrated_gradients,right_neural_foraminal_narrowing,1,0,0.3926168970763683,0.45745934620499606
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,gradcam,right_neural_foraminal_narrowing,0,0,0.45757560878992076,0.7405570387840272
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,gradcam++,right_neural_foraminal_narrowing,0,0,0.4360617458820343,0.7460495337843895
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,integrated_gradients,right_neural_foraminal_narrowing,0,0,0.35181173831224444,0.6750664189457894
4003253_1054713880_5_right_neural_foraminal_narrowing_l3_l4,gradcam,right_neural_foraminal_narrowing,1,0,0.5980848386883736,0.8813455164432524
4003253_1054713880_5_right_neural_foraminal_narrowing_l3_l4,gradcam++,right_neural_foraminal_narrowing,1,0,0.6580474615097046,0.8243410853319801
4003253_1054713880_5_right_neural_foraminal_narrowing_l3_l4,integrated_gradients,right_neural_foraminal_narrowing,1,0,0.5715995565056801,0.8389020055532456
4003253_1054713880_6_right_neural_foraminal_narrowing_l1_l2,gradcam,right_neural_foraminal_narrowing,0,0,0.950751268863678,0.9832755893468857
4003253_1054713880_6_right_neural_foraminal_narrowing_l1_l2,gradcam++,right_neural_foraminal_narrowing,0,0,0.9568260401487352,0.9804540783166885
4003253_1054713880_6_right_neural_foraminal_narrowing_l1_l2,integrated_gradients,right_neural_foraminal_narrowing,0,0,0.9390532851219175,0.9623210847377777
4003253_1054713880_6_right_neural_foraminal_narrowing_l2_l3,gradcam,right_neural_foraminal_narrowing,0,0,0.7942465528845788,0.9544718846678735
4003253_1054713880_6_right_neural_foraminal_narrowing_l2_l3,gradcam++,right_neural_foraminal_narrowing,0,0,0.8220793619751929,0.9064911723136901
4003253_1054713880_6_right_neural_foraminal_narrowing_l2_l3,integrated_gradients,right_neural_foraminal_narrowing,0,0,0.7544654592871667,0.9302220508456228
4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,gradcam,left_neural_foraminal_narrowing,0,0,0.9212375596165656,0.9812533423304558
4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,gradcam++,left_neural_foraminal_narrowing,0,0,0.940694709122181,0.9763111695647241
4003253_1054713880_11_left_neural_foraminal_narrowing_l1_l2,integrated_gradients,left_neural_foraminal_narrowing,0,0,0.8953395321965217,0.9592735871672632
4003253_1054713880_11_left_neural_foraminal_narrowing_l4_l5,gradcam,left_neural_foraminal_narrowing,1,1,0.6016568779945374,0.6243533983826636
4003253_1054713880_11_left_neural_foraminal_narrowing_l4_l5,gradcam++,left_neural_foraminal_narrowing,1,1,0.5934893667697907,0.5207449436187744
4003253_1054713880_11_left_neural_foraminal_narrowing_l4_l5,integrated_gradients,left_neural_foraminal_narrowing,1,1,0.6476967513561248,0.609764423966408
4003253_1054713880_11_left_neural_foraminal_narrowing_l5_s1,gradcam,left_neural_foraminal_narrowing,0,0,0.3538114883005619,0.762791445106268
4003253_1054713880_11_left_neural_foraminal_narrowing_l5_s1,gradcam++,left_neural_foraminal_narrowing,0,0,0.4087149895727635,0.7078664742410183
4003253_1054713880_11_left_neural_foraminal_narrowing_l5_s1,integrated_gradients,left_neural_foraminal_narrowing,0,0,0.2848909996449947,0.7287622056901455
4003253_1054713880_12_left_neural_foraminal_narrowing_l2_l3,gradcam,left_neural_foraminal_narrowing,0,0,0.7295062318444251,0.9393231883645058
4003253_1054713880_12_left_neural_foraminal_narrowing_l2_l3,gradcam++,left_neural_foraminal_narrowing,0,0,0.8116858050227165,0.8992635264992714
4003253_1054713880_12_left_neural_foraminal_narrowing_l2_l3,integrated_gradients,left_neural_foraminal_narrowing,0,0,0.693631537258625,0.9355507865548134
4003253_1054713880_12_left_neural_foraminal_narrowing_l3_l4,gradcam,left_neural_foraminal_narrowing,0,0,0.5576423645019531,0.861906422674656
4003253_1054713880_12_left_neural_foraminal_narrowing_l3_l4,gradcam++,left_neural_foraminal_narrowing,0,0,0.6540223494172096,0.8301750183105469
4003253_1054713880_12_left_neural_foraminal_narrowing_l3_l4,integrated_gradients,left_neural_foraminal_narrowing,0,0,0.5053606003522872,0.8385096147656441
4003253_2448190387_3_left_subarticular_stenosis_l1_l2,gradcam,left_subarticular_stenosis,0,0,0.8128435835242271,0.9843796327710151
4003253_2448190387_3_left_subarticular_stenosis_l1_l2,gradcam++,left_subarticular_stenosis,0,0,0.8282911881804466,0.9664211347699165
4003253_2448190387_3_left_subarticular_stenosis_l1_l2,integrated_gradients,left_subarticular_stenosis,0,0,0.7614283666014673,0.9826919332146644
4003253_2448190387_4_right_subarticular_stenosis_l1_l2,gradcam,right_subarticular_stenosis,0,0,0.8512878745794297,0.9794911652803421
4003253_2448190387_4_right_subarticular_stenosis_l1_l2,gradcam++,right_subarticular_stenosis,0,0,0.8917315363883972,0.9764817595481871
4003253_2448190387_4_right_subarticular_stenosis_l1_l2,integrated_gradients,right_subarticular_stenosis,0,0,0.7983470231294633,0.9791915684938429
4003253_2448190387_11_left_subarticular_stenosis_l2_l3,gradcam,left_subarticular_stenosis,0,0,0.5440052151679993,0.9434784308075905
4003253_2448190387_11_left_subarticular_stenosis_l2_l3,gradcam++,left_subarticular_stenosis,0,0,0.5676424518227577,0.9053625866770745
4003253_2448190387_11_left_subarticular_stenosis_l2_l3,integrated_gradients,left_subarticular_stenosis,0,0,0.4488092333078385,0.9295699998736381
4003253_2448190387_11_right_subarticular_stenosis_l2_l3,gradcam,right_subarticular_stenosis,0,0,0.6075193777680398,0.9428565129637718
4003253_2448190387_11_right_subarticular_stenosis_l2_l3,gradcam++,right_subarticular_stenosis,0,0,0.7013399705290795,0.934281612932682
4003253_2448190387_11_right_subarticular_stenosis_l2_l3,integrated_gradients,right_subarticular_stenosis,0,0,0.552138140797615,0.9409533247351645
4003253_2448190387_19_left_subarticular_stenosis_l3_l4,gradcam,left_subarticular_stenosis,0,0,0.38351157009601583,0.8254394114017487
4003253_2448190387_19_left_subarticular_stenosis_l3_l4,gradcam++,left_subarticular_stenosis,0,0,0.42093823626637455,0.8028592288494111
4003253_2448190387_19_left_subarticular_stenosis_l3_l4,integrated_gradients,left_subarticular_stenosis,0,0,0.3086880803108215,0.7811891093850136
