sample_id,method,condition,label,target,deletion_auc,insertion_auc
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,spinal_canal_stenosis,0,0,0.9111240774393081,0.9965493708848953
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam++,spinal_canal_stenosis,0,0,0.95744446516037,0.9873668700456619
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,spinal_canal_stenosis,0,0,0.9311653047800064,0.9952565431594849
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,spinal_canal_stenosis,0,0,0.939403775334358,0.9969516336917876
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,spinal_canal_stenosis,0,0,0.9344933599233628,0.9973170280456544
4003253_702807833_8_spinal_canal_stenosis_l1_l2,guided_backprop,spinal_canal_stenosis,0,0,0.904205498099327,0.9938937306404113
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,spinal_canal_stenosis,0,0,0.5008777052164078,0.9901956677436828
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam++,spinal_canal_stenosis,0,0,0.6121494606137277,0.9849390715360642
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,spinal_canal_stenosis,0,0,0.7275845274329187,0.9742050796747207
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,spinal_canal_stenosis,0,0,0.7392915323376656,0.9783430993556977
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,spinal_canal_stenosis,0,0,0.7722402185201644,0.98737950026989
4003253_702807833_8_spinal_canal_stenosis_l2_l3,guided_backprop,spinal_canal_stenosis,0,0,0.6298062674701214,0.9672943741083144
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,spinal_canal_stenosis,0,0,0.3657896645367145,0.9806564033031464
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam++,spinal_canal_stenosis,0,0,0.6874681621789933,0.9583194702863692
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,spinal_canal_stenosis,0,0,0.48079207092523574,0.9291260868310929
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,spinal_canal_stenosis,0,0,0.4841072544455528,0.9323223263025283
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,spinal_canal_stenosis,0,0,0.6424690335989,0.9172353774309159
4003253_702807833_8_spinal_canal_stenosis_l3_l4,guided_backprop,spinal_canal_stenosis,0,0,0.43676722869277007,0.9241048961877824
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,spinal_canal_stenosis,0,0,0.3104822505265475,0.9671026214957237
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam++,spinal_canal_stenosis,0,0,0.4279654875397682,0.9265940472483634
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,spinal_canal_stenosis,0,0,0.29326846189796923,0.9278096824884414
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,spinal_canal_stenosis,0,0,0.27997266575694085,0.9283724576234818
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,spinal_canal_stenosis,0,0,0.437080392241478,0.9450612053275108
4003253_702807833_8_spinal_canal_stenosis_l4_l5,guided_backprop,spinal_canal_stenosis,0,0,0.24678724501281976,0.8963554918766021
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,spinal_canal_stenosis,0,0,0.5626676112413406,0.9913663819432259
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam++,spinal_canal_stenosis,0,0,0.5729624122381209,0.9900512740015983
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,spinal_canal_stenosis,0,0,0.6424668326973915,0.9765475556254386
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,spinal_canal_stenosis,0,0,0.633267229795456,0.9825053796172142
4003253_702807833_8_spinal_canal_stenosis_l5_s1,occlusion,spinal_canal_stenosis,0,0,0.6932731762528421,0.9879292771220207
4003253_702807833_8_spinal_canal_stenosis_l5_s1,guided_backprop,spinal_canal_stenosis,0,0,0.6380878150463104,0.9802032098174095
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam,right_neural_foraminal_narrowing,1,0,0.28976281359791756,0.6541480064392091
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam++,right_neural_foraminal_narrowing,1,0,0.2886100113391876,0.6522408634424212
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,integrated_gradients,right_neural_foraminal_narrowing,1,0,0.3372880078852177,0.69895798265934
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradient_shap,right_neural_foraminal_narrowing,1,0,0.35174720808863635,0.7158978074789046
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,occlusion,right_neural_foraminal_narrowing,1,0,0.4651569038629532,0.5575927868485451
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,guided_backprop,right_neural_foraminal_narrowing,1,0,0.3830670528113842,0.688127501308918
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,gradcam,right_neural_foraminal_narrowing,0,0,0.4168575614690781,0.8999366238713264
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,gradcam++,right_neural_foraminal_narrowing,0,0,0.41479995995759966,0.8987464502453805
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,integrated_gradients,right_neural_foraminal_narrowing,0,0,0.4816756293177604,0.9152891114354134
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,gradient_shap,right_neural_foraminal_narrowing,0,0,0.5111428201198578,0.931207413971424
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,occlusion,right_neural_foraminal_narrowing,0,0,0.6524322614073753,0.8291838690638541
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,guided_backprop,right_neural_foraminal_narrowing,0,0,0.5403228893876075,0.9147590175271034
