sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
11340341_1224932122_5_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,-0.42247724681864984,0.19999601403061223,-0.19225162975262228,0.19999601403061223,-0.12457100360047302,0.19999601403061223,-0.16886610945511604,0.19999601403061223,-0.21979818569581935,0.20055404974489796,0.6112368586471038,0.41847480387306524,0.6901609835001224,0.47856195668189183,0.6105320703356433,0.42765685019206146,0.595922678245728,0.42458179756166714,0.677900991240756,0.48523643898468144,0.9591639233760212,0.8255412042932508,0.4729644837158836,0.3609154929577465,0.7292468574120188,0.5318272019539002,0.4919249653495454,0.384922822491731,0.4654511647570667,0.3603627995126574,0.3451027200838139,0.379907964958
11340341_1224932122_6_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,0.0,0.19999601403061223,0.37059570401438946,0.2957582800697269,0.4847592737730413,0.3176207983193277,0.3944194306784538,0.31917970290521885,0.4196975948679375,0.36474267455299475,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20007573341836735,0.5981537643098729,0.4199801896136975,0.9418004001577547,0.755137735024049,0.35561525571215735,0.28630014097142126,0.5966634579776307,0.4279615795090715,0.370714101570735,0.3121976728984181,0.3638008726057072,0.30181582360570686,0.326414657044512,0.3200502924673633
11340341_1224932122_15_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,0.0,0.19999601403061223,-0.46747654968709706,0.010777598710717163,-0.4625630179703605,0.01599676014984307,-0.4607714630519751,0.011847743887068314,-0.35397111918885094,0.025698666530424564,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2001155931122449,0.7226818535471012,0.5191885549920521,0.9690374808391202,0.850793065289561,0.5196164533509583,0.3667370140921778,0.7591734947301743,0.5570209464701319,0.5098517509833105,0.3807427785419532,0.5134600548362744,0.37009486112058965,0.14993592922591034,0.2739331759346142
11340341_1224932122_15_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,0.0,0.19999601403061223,-0.032122419577344956,0.11400976909413854,0.013273366424850915,0.13563062298421322,-0.032134079665923146,0.11804356303270012,0.01832574671478648,0.10970696981402793,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2007732780612245,0.7112594510019569,0.509930785434848,0.9646482395313861,0.8171118153010412,0.4998754191272699,0.3721596724667349,0.7440361259200003,0.5517241379310345,0.5311539233044309,0.42213578500707216,0.5144638838229215,0.3914337115970108,0.26218531044028903,0.30284294445643306
11340341_1224932122_24_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,1,0.38431466876070275,0.19164094039420565,-0.294981558296686,0.041132838840188805,-0.3093128709182071,0.043297468683403506,-0.282769954534528,0.04634311630089141,-0.25613951182071065,0.03765798297652825,-0.18148207588326512,0.1349242252883963,-0.12951856950876608,0.14738166018751428,-0.16663646140037874,0.13698164513936098,-0.0867660797527526,0.15518924817644017,0.5899011208912349,0.41099550056242967,0.9298042400295453,0.756827731092437,0.3724182288084611,0.3211376773515502,0.6597097421317345,0.4578339507517978,0.4485700412264316,0.31148930620761606,0.3928616822559231,0.32487978394045186,0.1379981761325826,0.23451420505954745
11340341_1224932122_24_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,1,0.36571944774816834,0.20940865066474162,-0.2677209309234856,0.050512445095168376,-0.3007437963178184,0.042986190426746965,-0.26124998502448543,0.052769480689619036,-0.31023370630404107,0.029882111737570476,-0.1793127991804627,0.1464779084370362,-0.17553368413530857,0.14903598604039134,-0.17954690894024958,0.14687071722247602,-0.13996453554881413,0.16385653861753288,0.6794543700619645,0.49441548771407295,0.9538091529860656,0.8103914847555476,0.44912193542695716,0.364953080375357,0.6875261096310185,0.5042722230550143,0.476913911633322,0.35354012137559004,0.44653574644813326,0.3629141770776752,0.14965162183739758,0.258819106885636
11340341_1224932122_33_left_subarticular_stenosis_l4_l5,left_subarticular_stenosis,1,0.6874487428504562,0.31499051233396586,-0.22757168048970672,0.03475440222428174,-0.2803858918001157,0.033317908375751965,-0.2390850892486191,0.03310543360921195,-0.22640611848034775,0.03901532745006967,-0.3803532350500621,0.017645269242470337,-0.4449433721491557,0.01841985081443142,-0.3835689776552235,0.018161525974025976,-0.39116551753321677,0.035111202635914336,0.6939127052536843,0.5194185782421077,0.9635786271400009,0.8451778983175507,0.4044125202374554,0.3750512925728354,0.726196955551435,0.5478944932901435,0.46143660734533554,0.4211195928753181,0.4056536465941919,0.38119117950127085,0.1179439948377408,0.24229163116395666
11340341_1224932122_33_right_subarticular_stenosis_l4_l5,right_subarticular_stenosis,1,0.38254292921660005,0.22752293577981653,-0.36059264946009373,0.024659212743145965,-0.45534677235222,0.024293150964580994,-0.3625695049613767,0.02439771335238873,-0.46243192002969524,0.007477667369266285,-0.2683570324086465,0.07642799678197908,-0.2782937174444091,0.08916264177565529,-0.2660116699208822,0.07481390242596261,-0.21518806969178747,0.08343677478547143,0.6620361853394531,0.4722711267605634,0.9615384705603585,0.8272032046613256,0.4645647049547125,0.3596342702336607,0.6776814438634094,0.4876584389593062,0.5076712336792277,0.3854382332643202,0.4641165886373087,0.35449699750354224,0.09675734799879727,0.234592951157399
11340341_1224932122_42_left_subarticular_stenosis_l5_s1,left_subarticular_stenosis,0,0.0,0.20033482142857142,0.12715399850679587,0.15039230284634328,0.21419544034270954,0.15336472209462562,0.13270958792947735,0.15283516988062443,0.284087385838642,0.2169805607703022,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20017538265306123,0.5748830700297827,0.4158730158730159,0.954145056690992,0.7930849638166712,0.40019080306489196,0.3424483519422344,0.6327046740970472,0.4654983570646221,0.432282001387681,0.3503934360078015,0.3911179663809477,0.34848891873740767,0.27623133228459784,0.2926572030138079
11340341_1224932122_42_right_subarticular_stenosis_l5_s1,right_subarticular_stenosis,0,0.0,0.20045440051020408,0.3494098453401367,0.2677771468231434,0.3395982473881158,0.26117248305297514,0.3134460554035978,0.26267831332872493,0.44940589166812106,0.4021867818093182,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20081313775510204,0.49313606169726953,0.31554798112218146,0.945232524634711,0.7637753756920643,0.36259317607717767,0.2947273546642632,0.5864414479317454,0.37815010643411384,0.39343695226290387,0.3084580351333767,0.38034261140716613,0.30658783783783783,0.3075361875873963,0.30415446641700944
