sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
11943292_403244853_7_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,0.9853088569450731,0.8317970247330474,0.4227320315892486,0.3120015688325271,0.5376960884449118,0.328325612177366,0.3056314947089498,0.2617715471176212,0.46910729624983066,0.26346891305714465,0.4561669466224226,0.32440279794113763,0.5479528528474205,0.34716069271043093,0.3295991654664925,0.2700120230336012,0.4882850698436644,0.2712379024606237,0.30211728611989874,0.2934201198685313,0.6212265864243125,0.35617271437259274,0.2726802630505884,0.2645985401459854,0.1854322374704348,0.2340896513558384,0.29836398529859953,0.2312829310133562,0.20749279977239068,0.22371064969859344,0.4286528640569492,0.3208968459012265
11943292_403244853_8_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,0.937730575807642,0.8444995864350703,0.5019612973122295,0.3628955588754584,0.5276332477758745,0.30808837906537184,0.4112211431840932,0.32013418404262317,0.355944593691264,0.2708873569034217,0.5156296778532888,0.34086050240513094,0.5151705477075931,0.2927536231884058,0.4108581597560365,0.3024855603867869,0.371905821982053,0.25728945063196096,0.30212486281027506,0.27501429388221843,0.6410993459421449,0.3933629547347959,0.32016405944252196,0.25595349709356835,0.21969564453767632,0.24526897065210648,0.2930908352713612,0.27016434892541086,0.2435470945025616,0.21487303506650543,0.43785179383844103,0.33030208681925566
11943292_403244853_15_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,0.996650742068267,0.8695854680950164,0.5505289312615036,0.3347077209549777,0.6063303371126875,0.41847480387306524,0.4519229947144933,0.2520274485339988,0.5027714364370207,0.31455460427423043,0.5472801076716307,0.3347964884277733,0.6062082757011742,0.4007537688442211,0.4484233900492105,0.25241809672386895,0.4967071122258758,0.3175684527708634,0.3784605997151406,0.31615187881172535,0.6511635483600595,0.34193634661674244,0.32839668189769616,0.2626490897677338,0.26680126149085287,0.24026696329254726,0.3645524559695258,0.2822899400739513,0.28725772160746643,0.21991751576904414,0.4988970397521736,0.343873239121984
11943292_403244853_16_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,0.9854291644116882,0.9363241678726484,0.5494826811740946,0.4008515390521393,0.5076710043709404,0.382041041178901,0.4860510485902162,0.32054740443450225,0.44972535521730433,0.33059330460722575,0.5479085699715001,0.39462163852407756,0.4989534493989939,0.3687512787287731,0.4951164695952348,0.3248184818481848,0.4659531938951395,0.31628303495311166,0.3896829561068594,0.32431540745628507,0.609141843832326,0.34922022048937884,0.3200554601844269,0.25985438111975895,0.2926986719697665,0.2465685361157692,0.34928174795348604,0.2750603481133274,0.27321572630301955,0.21861340456532297,0.4813578228649998,0.3632309459372937
11943292_403244853_24_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,0,0.9821968289691771,0.9711255156157925,0.44399356328538997,0.3336434314572397,0.5424270932997356,0.4526635784597568,0.3934228539513416,0.2684869169510808,0.471653084079842,0.4471468662301216,0.4735719660499525,0.33791080594627027,0.5461920127837494,0.4520329908840978,0.41906705903539343,0.2700120230336012,0.5224972558530231,0.44548264213325667,0.3733103546446086,0.31701555220158806,0.6430189610048874,0.3694984646878199,0.4508498773902145,0.34620791217618313,0.25844971512128445,0.2540614846288428,0.4292788863189257,0.36549429657794674,0.39305194961259554,0.2730898271823764,0.48953209742667475,0.393591487211065
11943292_403244853_25_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,0,0.986968262083233,0.8975134726292899,0.48297680891507067,0.34499396863691195,0.5139495571942989,0.3942341090656478,0.36058594263094623,0.25870178739416744,0.3490893099935621,0.3041387824053018,0.47158412425553453,0.32694214876033056,0.5076036323499741,0.3648418905134308,0.3474870435634293,0.24141770272777882,0.3466096717574695,0.27255436505420655,0.3487609981709891,0.2907582481188501,0.5325767338739379,0.31788035983977936,0.3076603559108801,0.2457795431976167,0.22428690007610136,0.2409571508069004,0.31247347944221254,0.3096698420983949,0.2496983270089609,0.22622029445903843,0.42282074314844,0.335773577713843
11943292_1212326388_3_right_neural_foraminal_narrowing_l3_l4,right_neural_foraminal_narrowing,0,0.9400772049530042,0.8468045977011495,0.3796519719336852,0.2950735104462213,0.4621785128593595,0.3017889551464869,0.31366917817043055,0.24044222098696807,0.39055847120176035,0.3076873091169017,0.3448076494457612,0.24836723269266653,0.5108292517159615,0.26282010948216195,0.280779100514011,0.2129819896047383,0.42630516297356336,0.30102866015397556,0.3452672851878816,0.3260654112983152,0.5608477662488941,0.3385354141656663,0.2464796454190478,0.2734295845997974,0.19140873007182865,0.22677261613691932,0.29369236844689794,0.27262371851664347,0.2039879773193408,0.2232360097323601,0.39270268509742856,0.31184382265206484
11943292_1212326388_3_right_neural_foraminal_narrowing_l4_l5,right_neural_foraminal_narrowing,0,0.9796265892767001,0.9370717112247853,0.3903932644245929,0.2743666264524732,0.5036551862198632,0.31348167539267013,0.30434179399612654,0.1959954710684703,0.41137845923450145,0.29938610662358645,0.367427770571255,0.2813637234246313,0.5037011281272806,0.3101377374502252,0.28834975627114384,0.20598485758923207,0.4126767256427407,0.3037671010827984,0.36545740198824755,0.3291390728476821,0.5604890391276572,0.31701555220158806,0.26986131457844875,0.30469763820399687,0.216878769277616,0.22639780018331807,0.3196677128698155,0.2836259176508139,0.1689415896333743,0.21439787413938882,0.4041897667492909,0.3197885910357107
11943292_1212326388_3_right_neural_foraminal_narrowing_l5_s1,right_neural_foraminal_narrowing,0,0.9992530749761279,0.9325950890707752,0.4574531614979056,0.32817153067301963,0.5475833685172541,0.3662355343771273,0.30168565263635433,0.22654769907718633,0.3981639506846251,0.3575245180926615,0.45023400201380964,0.3219602160453168,0.5386808151902578,0.3517882400484946,0.297984479787684,0.22288569339507677,0.3937202851966659,0.350491185573947,0.477746311361068,0.38156536105183453,0.551130397873427,0.3555315412670539,0.33728919355932885,0.2974982222509535,0.28619716317382576,0.26584673604541154,0.3578175656102519,0.3242940089733439,0.23149895007857296,0.2346066309897275,0.4417625581438107,0.354502813795462
11943292_1212326388_4_right_neural_foraminal_narrowing_l1_l2,right_neural_foraminal_narrowing,0,0.997869727828171,0.8650683022023975,0.36888176613478024,0.2970981710075616,0.47573212036072926,0.2880246438197921,0.2449269968977353,0.18393109957527135,0.28531515518703454,0.22469647977548654,0.3560400010690294,0.276555145655769,0.460103369836502,0.264092712729105,0.23666915213186457,0.1773332551182026,0.2652854926186533,0.20095722405025426,0.2913125789238824,0.28226424738052647,0.44823527848201417,0.2816910402963152,0.29787357803195397,0.29979279979279977,0.1564751436593958,0.17788602617524502,0.38933583029625674,0.2815372829417773,0.2379568286069625,0.25095033339565026,0.36746753467099763,0.29012525092774355
11943292_1212326388_4_right_neural_foraminal_narrowing_l2_l3,right_neural_foraminal_narrowing,0,0.9426796991934576,0.6912582112177867,0.3706616129042627,0.26230435602489155,0.3515398529092026,0.2528542017593112,0.22870654467837942,0.1849884935386794,0.3920044804332575,0.26408206935615836,0.4090834376243247,0.32440279794113763,0.408784058547748,0.3315199363099582,0.24502358825972012,0.21702746952883392,0.43662764237511037,0.34835762746020016,0.37561679735578346,0.33817842378983864,0.5522048507092612,0.33657432072456045,0.40808885430487385,0.3689558753324695,0.18265929180774293,0.2334070796460177,0.4082469628676371,0.2981310224406648,0.26857950297331645,0.2630088718303656,0.39870047846293855,0.3143367171267249
