sample_id,method,condition,label,target,deletion_auc,insertion_auc
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam,spinal_canal_stenosis,0,0,0.6704131305217743,0.9793452337384224
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradcam++,spinal_canal_stenosis,0,0,0.7034381106495857,0.9874717012047768
4003253_702807833_8_spinal_canal_stenosis_l1_l2,integrated_gradients,spinal_canal_stenosis,0,0,0.8105524078011513,0.9638056710362434
4003253_702807833_8_spinal_canal_stenosis_l1_l2,gradient_shap,spinal_canal_stenosis,0,0,0.7966379508376121,0.956289105117321
4003253_702807833_8_spinal_canal_stenosis_l1_l2,occlusion,spinal_canal_stenosis,0,0,0.8373236179351807,0.9744779571890831
4003253_702807833_8_spinal_canal_stenosis_l1_l2,guided_backprop,spinal_canal_stenosis,0,0,0.7046757325530053,0.9465271160006523
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam,spinal_canal_stenosis,0,0,0.7451970681548118,0.9662863209843635
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradcam++,spinal_canal_stenosis,0,0,0.725942362844944,0.96938786059618
4003253_702807833_8_spinal_canal_stenosis_l2_l3,integrated_gradients,spinal_canal_stenosis,0,0,0.5275286614894867,0.9053713783621788
4003253_702807833_8_spinal_canal_stenosis_l2_l3,gradient_shap,spinal_canal_stenosis,0,0,0.5258730337023735,0.868479610979557
4003253_702807833_8_spinal_canal_stenosis_l2_l3,occlusion,spinal_canal_stenosis,0,0,0.7359860114753246,0.9572193995118142
4003253_702807833_8_spinal_canal_stenosis_l2_l3,guided_backprop,spinal_canal_stenosis,0,0,0.4940917685627937,0.9116920724511145
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam,spinal_canal_stenosis,0,0,0.49022953659296037,0.9626316912472248
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradcam++,spinal_canal_stenosis,0,0,0.5034800939261914,0.9470005311071873
4003253_702807833_8_spinal_canal_stenosis_l3_l4,integrated_gradients,spinal_canal_stenosis,0,0,0.40334581360220917,0.7336328841745854
4003253_702807833_8_spinal_canal_stenosis_l3_l4,gradient_shap,spinal_canal_stenosis,0,0,0.38355895876884466,0.8309231825172901
4003253_702807833_8_spinal_canal_stenosis_l3_l4,occlusion,spinal_canal_stenosis,0,0,0.6289874747395515,0.9519535370171069
4003253_702807833_8_spinal_canal_stenosis_l3_l4,guided_backprop,spinal_canal_stenosis,0,0,0.3586686246097088,0.9203968293964864
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam,spinal_canal_stenosis,0,0,0.28573837224394083,0.9358800765126943
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradcam++,spinal_canal_stenosis,0,0,0.2186953008174896,0.919565626606345
4003253_702807833_8_spinal_canal_stenosis_l4_l5,integrated_gradients,spinal_canal_stenosis,0,0,0.18229338768869635,0.8229959275573491
4003253_702807833_8_spinal_canal_stenosis_l4_l5,gradient_shap,spinal_canal_stenosis,0,0,0.17710603773593903,0.8347703438252211
4003253_702807833_8_spinal_canal_stenosis_l4_l5,occlusion,spinal_canal_stenosis,0,0,0.3085222736001015,0.849201650545001
4003253_702807833_8_spinal_canal_stenosis_l4_l5,guided_backprop,spinal_canal_stenosis,0,0,0.20473544271662833,0.8172936316579579
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam,spinal_canal_stenosis,0,0,0.7397381797432901,0.9833604171872138
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradcam++,spinal_canal_stenosis,0,0,0.836683525145054,0.9807078704237938
4003253_702807833_8_spinal_canal_stenosis_l5_s1,integrated_gradients,spinal_canal_stenosis,0,0,0.6501463159918784,0.9670513615012168
4003253_702807833_8_spinal_canal_stenosis_l5_s1,gradient_shap,spinal_canal_stenosis,0,0,0.641128270328045,0.9750897780060768
4003253_702807833_8_spinal_canal_stenosis_l5_s1,occlusion,spinal_canal_stenosis,0,0,0.7949175551533699,0.947598598897457
4003253_702807833_8_spinal_canal_stenosis_l5_s1,guided_backprop,spinal_canal_stenosis,0,0,0.5743662834167481,0.9716285690665245
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam,right_neural_foraminal_narrowing,1,0,0.28894172683358194,0.582054028660059
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradcam++,right_neural_foraminal_narrowing,1,0,0.30049428567290304,0.5621069572865962
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,integrated_gradients,right_neural_foraminal_narrowing,1,0,0.3351713292300701,0.7163505755364895
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,gradient_shap,right_neural_foraminal_narrowing,1,0,0.3506543762981892,0.680990382283926
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,occlusion,right_neural_foraminal_narrowing,1,0,0.3591244395822287,0.5577699594199658
