sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
4003253_702807833_8_spinal_canal_stenosis_l1_l2,spinal_canal_stenosis,0,0.8021865676441299,0.6470395276365426,0.1148636937421076,0.22657872236472457,0.12365539502976983,0.24151573221240033,0.06449978354134223,0.1951916210426089,0.20255373641229688,0.34782608695652173,0.11396196393055084,0.18701206529453512,-0.10072644356756724,0.15344827586206897,0.09546863989554932,0.16985311261366287,0.12290507828873933,0.2652212277826799,0.393502051542381,0.28530259365994237,0.8242670611055322,0.5499266352614102,0.3690109684792852,0.31581017304667014,0.3474098460928788,0.2548455670876579,0.4475555896961029,0.36576404953054836,0.33605222989509037,0.2792505735406577,0.28381107744854595,0.2989723975928421
4003253_702807833_8_spinal_canal_stenosis_l2_l3,spinal_canal_stenosis,0,0.6245096980270002,0.5080021038395071,0.19182981935954638,0.2230347349177331,0.5852815165758721,0.4530842745438749,0.1247928164566117,0.19727972319990456,0.19495970389078374,0.3474178403755869,0.16395274905565468,0.20765389012575966,0.29519388999780044,0.3103943588404283,0.126235216283484,0.19067394399620313,0.13454272534461392,0.2903847389042328,0.34037591956943564,0.26904837179892505,0.8383028282714398,0.5647902697645408,0.3051675202512736,0.26066767068273095,0.29310664200573744,0.23675129405964998,0.3570325398235238,0.31033133315940514,0.29767032349881495,0.2604303908651735,0.32486359389410613,0.30866299593824376
4003253_702807833_8_spinal_canal_stenosis_l3_l4,spinal_canal_stenosis,0,-0.0039186657168309574,0.2619466800804829,0.11464325500254004,0.23705621301775148,0.6694297485148825,0.45476949840533487,0.08030448546852974,0.21312862669245647,0.10651517267050883,0.24872623337889896,0.1881247074359334,0.22782332069007707,0.080960096936187,0.2549240292628025,0.1677837764598928,0.21254229096181732,0.2844828204480876,0.35424528301886793,0.3344218181525287,0.2854672388394287,0.855725506196395,0.5655226209048362,0.3419124293364382,0.28538535337384074,0.31262481064911346,0.25885968763720757,0.29146760399519583,0.28153296773370745,0.3167885506314189,0.2659527559055118,0.27608440774538806,0.2938588533268681
4003253_702807833_8_spinal_canal_stenosis_l4_l5,spinal_canal_stenosis,0,-0.00020457845814436174,0.24565541211519365,0.11316610441549578,0.26720545523424677,0.3301347802841263,0.3564476885644769,0.07856328338538279,0.24821195347969402,0.2884089709617781,0.2742088908618175,0.16503797336115106,0.22977941176470587,0.045892627970394256,0.24280141185212706,0.17165884691435276,0.20910898246882342,0.02442656635859077,0.1918263242185183,0.46487251434337673,0.3621555585720103,0.8504711732067776,0.6190706679574056,0.36477314371024894,0.3163653039832285,0.4088345655088732,0.3335548172757475,0.36593005999854716,0.3228652314174732,0.32201976298219,0.29107498554263317,0.26626571966287604,0.30068880635387346
4003253_702807833_8_spinal_canal_stenosis_l5_s1,spinal_canal_stenosis,0,0.7607397745683432,0.7914844238150496,0.2582116155872373,0.3287870762711864,0.6303195470948122,0.4565643370346179,0.2339419137789403,0.2960929932192444,0.39324256845279587,0.3531075348461383,0.2691777041763194,0.3396969494693278,0.5000860318022757,0.4248189691892659,0.286808087609496,0.306640625,0.43479239679848997,0.4038703367332681,0.3818052763296617,0.3530641138003101,0.7954860828313824,0.5418299147268956,0.2719117155168271,0.31005932590129737,0.3057136877091843,0.3223957303814983,0.28690273969122765,0.3247412485991166,0.2643297198882354,0.2972885732730794,0.40489792412234854,0.3900294768173531
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,right_neural_foraminal_narrowing,1,0.998543288258903,0.9597695537545161,0.4720612554763063,0.4286731207289294,0.5808727682950635,0.4810715076378127,0.3429992916086857,0.3392499666355265,0.328251276928806,0.382520800385065,0.47106155552908485,0.4318327744881216,0.5794547950316147,0.4844674556213018,0.34295574142567536,0.3390712570056045,0.32628380418168496,0.37778386897827726,0.4590219391163852,0.40506860823298796,0.6512397703948132,0.4496208017334778,0.2584719182112249,0.26843732256639957,0.294729797519306,0.30088151413015296,0.20168041511925758,0.2890940565493364,0.2686743831029044,0.2541949971929387,0.4384201333466477,0.41278250704269653
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,right_neural_foraminal_narrowing,0,0.999924402019074,0.9879160063391442,0.4498493199484935,0.4821652758289639,0.628191151646196,0.5320610687022901,0.42600168327348986,0.3939436032782331,0.537163491033872,0.44941550007216047,0.45036262069755,0.4829318752770799,0.6292824406012848,0.5324120027487211,0.4269492023627308,0.3953973440867691,0.537172599696864,0.45234996384671006,0.43824897691104703,0.4067428331113759,0.6667535572914297,0.501346499102334,0.2611345099237769,0.31238157464880756,0.3345058679208486,0.32344213649851633,0.23779164279951534,0.33222789679644493,0.30727187302013337,0.2816488004083716,0.48870688927642036,0.45775882538306145
4003253_1054713880_5_right_neural_foraminal_narrowing_l3_l4,right_neural_foraminal_narrowing,1,0.9843229442434446,0.8953631126640854,0.4401301578976682,0.4351090454057919,0.5529728983481215,0.4374731413837559,0.29774302523987795,0.363080684596577,0.20712375763131693,0.3133752126684989,0.42732010730798126,0.44046508289672004,0.5105539893642559,0.423606185274507,0.3037349652114262,0.3573650750710131,0.21857281706184298,0.3328242247161166,0.5115353927834321,0.3769209659714599,0.6376582072829527,0.48534635879218474,0.20322912283926398,0.26519162884518405,0.3107855207976776,0.3037547096271275,0.17517198703160433,0.2533408267765705,0.19311024001597246,0.22511139595922602,0.39826434220378926,0.3938885100432546
4003253_1054713880_6_right_neural_foraminal_narrowing_l1_l2,right_neural_foraminal_narrowing,0,0.7536603299873378,0.8800936768149883,0.2778557353910146,0.33222701626286094,0.45005010764806846,0.39724310776942356,0.09632828578821837,0.24828958825724592,0.11931046693857122,0.30274753758424056,0.3507210522193149,0.3406813627254509,0.4502957823709973,0.4090143218197136,0.18862481993286284,0.24984431436044338,0.2896162144810238,0.32306679828891083,0.5008715706027441,0.3875829646017699,0.6606778944881235,0.4515079192883489,0.41273320170179567,0.3341296701838211,0.31839323094032124,0.2823461759631972,0.37021164066901163,0.3287508261731659,0.3597033166909728,0.3005563462284901,0.37327024332335856,0.37120544175480474
4003253_1054713880_6_right_neural_foraminal_narrowing_l2_l3,right_neural_foraminal_narrowing,0,0.9785501619388771,0.9713191238581672,0.32101100643151453,0.34643767610358245,0.4245301048164231,0.42562864043187953,0.20392420539980258,0.250701065619742,0.3109951745614476,0.3880411516950908,0.3562539611419879,0.3470702731726962,0.47114691623648697,0.42857142857142855,0.24103361952214422,0.24984431436044338,0.36430070452888813,0.3929462305986696,0.4832403332732686,0.3755054485641834,0.6326583345762105,0.4363415157804337,0.38239929646719917,0.3606091370558376,0.3595823206681075,0.293586851434096,0.3394753192663677,0.3743761536883845,0.3741946448565989,0.30505063619839,0.4162197402456883,0.39640197647553505
