sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
11340341_1224932122_5_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,-0.5531159835982025,0.012920157464419097,0.37271061238374603,0.318573024111425,0.3517003723651372,0.24852255054432348,0.34217881824720586,0.28662093723956666,0.3676044212636788,0.3011923276308968,-0.458088599362545,0.01997255679219393,-0.4315556147677489,0.03177051202961135,-0.40939483787348274,0.027334152334152335,-0.40912562457668544,0.010009556863336854,0.4954220156959722,0.33844614871623874,0.9468548511454822,0.7557519027206718,0.32465596678752295,0.28232965068012006,0.5630976878988732,0.38844690418540295,0.31245412008028384,0.23318798747159614,0.3100335200211266,0.2692793931731985,0.14169544838069098,0.23495718413047692
11340341_1224932122_6_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,-0.364957630218493,0.09906357811729916,0.26995239078263805,0.3012188796680498,0.24992075781007195,0.28030109721867824,0.28726367140318726,0.32013418404262317,0.3640503829247999,0.3438251804330393,-0.3877398665174689,0.022362589781468087,-0.3708370328389896,0.03667355371900827,-0.4204865780216601,0.018781725888324875,-0.4597042557782703,0.03138944452992768,0.6064536021278969,0.4396384764364106,0.9651377004032714,0.8146473779385172,0.36851158770990405,0.29260140129845086,0.5677392023161267,0.4083222230018946,0.38990199825006255,0.26479652808352727,0.36994978164436526,0.30214336592630964,0.16234371413316281,0.26505997373890194
11340341_1224932122_15_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,-0.15450425735271273,0.18468893873214495,0.21536221739551556,0.22071524145481086,0.2895226347352932,0.24874012318795496,0.23918143825642407,0.23711785009861933,0.3433684571348612,0.23687453783583928,-0.5727087413767011,0.010370519532823197,-0.5437524759392638,0.013687559977776655,-0.549834499212573,0.011235955056179775,-0.494267865797757,0.026544599018003275,0.5517154341560178,0.4202816502724506,0.9539488779357203,0.8,0.4023788777792283,0.3523110092979383,0.620547094710247,0.47758227195759406,0.4335080673808954,0.3633337861703573,0.4067546245354704,0.35908721560130014,0.1427479922893777,0.26417141721291953
11340341_1224932122_15_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,-0.3155526908903422,0.09066953482118849,0.38531650764040076,0.3156665585468699,0.37907540951592733,0.29973083824660346,0.3901233748332586,0.31994793361535956,0.3662471373621139,0.29710052369395834,-0.5085981503063834,0.016048195210854047,-0.4058168781692136,0.03995025648997357,-0.48481338123736195,0.019868895777224452,-0.37855212480048284,0.029872924779667964,0.540249801915141,0.3855712806351398,0.95855975038552,0.8199129488574538,0.40181636334206167,0.31288784375204126,0.5864615215029535,0.4245155795301299,0.4077008909376084,0.27953908836261776,0.40957933313231015,0.3124591876714118,0.18211979101090076,0.2642494393326996
11340341_1224932122_24_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,1,-0.05927932073406958,0.2002551020408163,0.30960727304004754,0.21135170999457145,0.21016045023807894,0.1757508342602892,0.3005753533448638,0.20633109082172033,0.2597424917499338,0.18050096791224263,-0.34173433964221894,0.19999601403061223,-0.33259899618418753,0.19999601403061223,-0.33765966012478676,0.19999601403061223,-0.26827786120712377,0.20081313775510204,0.633076973996379,0.46979128524350056,0.9787503580257602,0.8783341132428638,0.42034098575269824,0.3362790697674419,0.6225285723063524,0.4630412596588424,0.45618747106899016,0.34692920768870134,0.4159756107312276,0.3314134392585237,0.21782635749079635,0.3067186173157635
11340341_1224932122_24_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,1,0.34646984607075126,0.16165065401088088,0.11915849032471894,0.12342569269521411,0.21947982801243415,0.13044947617438324,0.11684507435300572,0.12104116628498017,0.1451523276008356,0.11245358310702211,0.44368910248087673,0.4171432606086281,0.45196330068362706,0.366210605132394,0.4414063963441297,0.4139485734413526,0.3772517504072072,0.3561005269558168,0.5140623879071909,0.36688687597902336,0.9775278020877224,0.8748248482017749,0.44895514776116635,0.30008420234471145,0.4869652756884095,0.3506056527590848,0.4692854172321824,0.29580374435119433,0.4400503640413809,0.29798241076047594,0.3998841673997093,0.3125740848537958
11340341_1224932122_33_left_subarticular_stenosis_l4_l5,left_subarticular_stenosis,1,-0.21925003669083276,0.20033482142857142,-0.19393773127751918,0.04072327858660173,-0.13361025196907345,0.06393008474576271,-0.18893753690683535,0.041424720033181255,-0.2022724168595369,0.03038221129214059,0.3839815168352539,0.19999601403061223,0.32743880824190347,0.19999601403061223,0.3809833719416621,0.19999601403061223,0.2852375763473391,0.20047433035714285,0.5295786269470598,0.3817555938037866,0.9716015705503767,0.8518176785384758,0.24493643259543343,0.2565818272778438,0.5562091501270371,0.399191299498048,0.2788009076395577,0.25689622818540064,0.2541138172128712,0.2598909022509248,0.2183249203156464,0.23889273453931448
11340341_1224932122_33_right_subarticular_stenosis_l4_l5,right_subarticular_stenosis,1,0.27544282352488825,0.3297999204982112,-0.16203744001263304,0.04221622182988888,-0.15205325794046393,0.04292023902312289,-0.16292515310271494,0.04113497250752153,-0.14306383137192683,0.02135991456034176,0.19743794087620714,0.2265338548032266,0.16776775600772367,0.20351382143071295,0.19686525542833766,0.22961465416896404,0.18639213762299972,0.18385993869370432,0.7176407746785325,0.5394646007517067,0.9789825489025132,0.882033008252063,0.44247300123181627,0.3345295055821372,0.7013233134929442,0.5289098803991773,0.4684264933836515,0.34769478558486006,0.44141200035203443,0.3363055629491616,0.27693895753826064,0.28599272540231996
11340341_1224932122_42_left_subarticular_stenosis_l5_s1,left_subarticular_stenosis,0,0.6463530624871375,0.2794164490029942,0.05513357773995668,0.11846282372598162,0.11852967672839737,0.12624081655543715,0.07869159401758336,0.12328000894954692,-0.03346263949425893,0.08380520951302378,0.08114711909860745,0.2242893741612785,0.11912111020146769,0.2336959862314832,0.09350726688668007,0.22623411534701857,0.007231563749612105,0.14502337247748262,0.6251883264931479,0.4457570955193776,0.9768681630785845,0.8640289774310392,0.3152517985162828,0.32758278802300217,0.6598000395785663,0.4730275229357798,0.2864957044447673,0.26903392936121817,0.31541546276848215,0.3236457097667062,0.2896847884196676,0.2842349452667579
11340341_1224932122_42_right_subarticular_stenosis_l5_s1,right_subarticular_stenosis,0,-0.2972148489896227,0.14520360442568725,0.11231599504308631,0.15850210605273787,0.19555533005263,0.20321208126086174,0.13061547181510297,0.16909281471992546,0.30823214399121546,0.2150706436420722,-0.2936467176185723,0.062066776019895235,-0.23629154137060962,0.08350877192982456,-0.24145690983441567,0.08251537051019307,-0.3212567178718639,0.04211344211344211,0.44680294313491337,0.31623819517313745,0.9405089664995163,0.748105565717272,0.2722854927504374,0.25921752738654147,0.5372442959590485,0.3788128606760099,0.21634387217783113,0.18741514668555576,0.2723282265311741,0.24765862432549773,0.1361577334846581,0.21991556870924361
