sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
8785691_481125819_8_spinal_canal_stenosis_l1_l2,spinal_canal_stenosis,0,0.819271504787165,0.20007573341836735,0.4887705661710502,0.4110783073246169,0.2910859216837284,0.23623598965389828,0.4991910193286202,0.418958082985792,0.07069717820757514,0.134252457904848,0.399017375754742,0.19999601403061223,0.3164629448465474,0.19999601403061223,0.40781918163602493,0.19999601403061223,0.07242941911931565,0.19999601403061223,0.4074524441280746,0.2785882652736192,0.9540007595548889,0.8365666178623719,0.04004697062563515,0.14502510269283433,0.4595841224235691,0.30088151413015296,0.11674758426250201,0.16760719064518007,0.05205857885711022,0.150011460004584,0.35964237142577,0.27195098520124755
8785691_481125819_8_spinal_canal_stenosis_l2_l3,spinal_canal_stenosis,0,0.29083135929984383,0.38839316594037493,0.37751236316049686,0.3299317473991121,0.33596476889776034,0.2871985633658286,0.40908145025769177,0.3779608650875386,0.09916975920387258,0.15658486000691324,0.05370920881669481,0.19847145927871984,0.06080703981203492,0.18881781568348732,0.06078901703084133,0.2206275845293116,0.015008446858320501,0.1308363841171501,0.5208472772712307,0.36437797416723317,0.9084796964450863,0.7193523515805705,0.06713676126025202,0.15180722891566265,0.46973282703481745,0.3223957303814983,0.11675886586856246,0.14243441643430263,0.06914593176366234,0.15965804066543438,0.2569983181987446,0.2759232125035425
8785691_481125819_8_spinal_canal_stenosis_l3_l4,spinal_canal_stenosis,0,0.7277016278437124,0.19999601403061223,0.3733178538259103,0.2824281150159744,0.21407469732553644,0.19336425258651446,0.3480998093631091,0.26920887877063177,0.1380151417094732,0.20403762055951596,0.31142720358151704,0.19999601403061223,0.2118242147996538,0.19999601403061223,0.2980352333410982,0.19999601403061223,0.16104714701103498,0.20057397959183673,0.45355467739793004,0.3249273831528915,0.9501608908083788,0.8277023950459885,0.08139051536029127,0.17510523854069224,0.4909287903207165,0.3488809731836817,0.1263834314386705,0.17931115413952942,0.09271778359671269,0.17263710618436406,0.3319119345149163,0.2652107435262713
8785691_481125819_8_spinal_canal_stenosis_l4_l5,spinal_canal_stenosis,0,0.739512187019386,0.7538004543071816,0.37346425770271446,0.3651387377584331,0.3938367970612506,0.3943456515698805,0.38072856571141694,0.37476885144853095,0.3613666653437165,0.36208530805687206,0.45641671065848755,0.3690995907230559,0.47165126482926834,0.39130736170802716,0.45958996700691535,0.37746208221810446,0.41146872344518953,0.38349381017881706,0.6684946181716427,0.4810715076378127,0.9585713081942288,0.8399339933993399,0.2174351492916924,0.23427624716205436,0.710774135773757,0.5172361657091019,0.26737398357614256,0.2563237774030354,0.23595102435671375,0.24136015798568256,0.47377569054283486,0.42278024648439533
8785691_481125819_8_spinal_canal_stenosis_l5_s1,spinal_canal_stenosis,0,0.5911513740553525,0.19999601403061223,0.3977665265959515,0.3121935272965021,0.4282080435259517,0.3249273831528915,0.40290129738066655,0.3109079033311561,0.3450052830647178,0.3035193466848143,0.4639916323191166,0.19999601403061223,0.49583090757507964,0.19999601403061223,0.46183498137317025,0.19999601403061223,0.4237871752705184,0.2008330676020408,0.7048967318092224,0.5352252734643923,0.9522564377972013,0.8448386800257377,0.3763117178632177,0.3330682044143965,0.7249696728983408,0.536988819114719,0.4321898839331548,0.35197633772519493,0.3843068024648774,0.3310390469887492,0.5056938978617692,0.3457001097282029
8785691_1570286759_4_right_neural_foraminal_narrowing_l1_l2,right_neural_foraminal_narrowing,0,-0.2827960317599879,0.2001953125,-0.4062139071493928,0.006012024048096192,-0.39085910230848403,0.006617204732303991,-0.40706323733821537,0.006970563161325912,-0.23800177985576132,0.052526839486776646,0.3791669776815756,0.19999601403061223,0.42292215922689014,0.19999601403061223,0.37375027913107906,0.19999601403061223,0.377844302960812,0.2003547512755102,0.779407809410785,0.6589518928748553,0.9246022956008412,0.8218954248366013,0.4564489546671687,0.35693055930829504,0.7625594134556652,0.641315014720314,0.512877228535981,0.35528268789637024,0.42601003839747204,0.34845942136000535,0.24604369337709522,0.2836999825528194
8785691_1570286759_4_right_neural_foraminal_narrowing_l2_l3,right_neural_foraminal_narrowing,0,0.6910921146810046,0.19999601403061223,0.5554832593661553,0.44700793078586876,0.6139501433948875,0.4992156569806529,0.551016596239224,0.4569872958257713,0.5063563169614491,0.3947770523683845,0.4463138754265918,0.19999601403061223,0.4923020403913151,0.19999601403061223,0.4449593634918771,0.19999601403061223,0.390127743110815,0.20023517219387754,0.5773373068532524,0.45582474974611925,0.9520124377936985,0.8367346938775511,0.33789783260642037,0.3363055629491616,0.6078859635365406,0.48721748795850317,0.49428702732396085,0.4334047109207709,0.3620922246995616,0.3579011427412266,0.5348742830584502,0.3803730341646891
8785691_1570286759_4_right_neural_foraminal_narrowing_l3_l4,right_neural_foraminal_narrowing,0,0.8099078655750335,0.20005580357142858,0.5495768710285466,0.4332738307747233,0.5567542314186884,0.420695024417864,0.5572286198686482,0.44545258155109096,0.44507511335956185,0.357331170148043,0.4499189751493522,0.19999601403061223,0.46941469787700246,0.19999601403061223,0.45366165640622036,0.19999601403061223,0.3805077216607788,0.2001155931122449,0.647431055511012,0.4608050076424776,0.9612195219613989,0.8416223160212883,0.34617854703529916,0.283713792441972,0.6542838645803024,0.4637881992560718,0.4502737232276194,0.30253681956789724,0.3596610559200302,0.29280700624637773,0.5394062347052997,0.35347901245622104
8785691_1570286759_4_right_neural_foraminal_narrowing_l4_l5,right_neural_foraminal_narrowing,0,0.7850293625621587,0.19999601403061223,0.5957152446844778,0.4949720670391061,0.6162905765447027,0.4984321337912498,0.5886932028338853,0.4835895919574216,0.4660227672796005,0.3814603261991604,0.46039694413062604,0.19999601403061223,0.49941348822898857,0.19999601403061223,0.4631188912436155,0.19999601403061223,0.37507542420676504,0.20007573341836735,0.6920807203050366,0.4965326970397435,0.9560889257043764,0.8377437963556451,0.34310826025397406,0.2935945353782704,0.7252656281213282,0.523224043715847,0.3757436036030176,0.28514724711907813,0.35315328467478596,0.28852943064381537,0.5530130882918226,0.3722190439186769
8785691_1570286759_4_right_neural_foraminal_narrowing_l5_s1,right_neural_foraminal_narrowing,0,0.7575079027294055,0.20005580357142858,0.50445047634001,0.47552190532196414,0.5207091278128837,0.4682905420232609,0.4990877780291551,0.47845621271267585,0.29227887646419887,0.31693416311824435,0.4771949791565969,0.19999601403061223,0.4798700672918322,0.19999601403061223,0.47745132076618885,0.19999601403061223,0.3681387723863983,0.2005939094387755,0.6231774406734109,0.4731356429829712,0.9596553637369557,0.8514760147601476,0.2944584228912238,0.28467339895180876,0.6720757503820133,0.5114089916409368,0.39446734154770957,0.29727636504453336,0.32547519187055807,0.29568748791336297,0.5097332541385693,0.3635665653047965
8785691_1570286759_10_left_neural_foraminal_narrowing_l1_l2,left_neural_foraminal_narrowing,0,0.6978849911418356,0.6392813393221723,0.40479122058755374,0.3241406610806888,0.4221683443766403,0.31632452285695545,0.4207355754149379,0.337643295121301,0.26649357370077925,0.2934621578099839,0.2581318870195761,0.24483720930232558,0.28475525904607535,0.26707486428481253,0.27206816300747655,0.2533091908091908,0.2553351732699943,0.23883543054527512,0.48059731006383005,0.32204729596205783,0.9688905445155124,0.8683671569540123,0.160330009355939,0.2245258857247393,0.5034900903619156,0.3340866790747142,0.27375184967648036,0.28848251523901186,0.17150332444415117,0.2300012250398138,0.3893951543988465,0.34549462860847036
8785691_1570286759_11_left_neural_foraminal_narrowing_l2_l3,left_neural_foraminal_narrowing,0,0.7491181343090242,0.5798960957178841,0.06869277834414084,0.2428783750309636,0.038877562117478025,0.2305334150827713,0.05597799091876244,0.23865950749861137,0.18642372571029836,0.17473228392533208,0.012756941719141096,0.23521447473690688,-0.017905338000596776,0.24263249133234274,0.00627481950427963,0.23324116743471582,0.19484915238143138,0.192657280342185,0.6165170655217087,0.47151550700197964,0.9610237429819412,0.8699338488772943,0.23462092165193874,0.2579897230229352,0.6209013470226832,0.4672125155347613,0.3172417552099738,0.27964048954614995,0.24552142810710198,0.2552366660413931,0.28605946849995373,0.3314649227417484
8785691_1570286759_11_left_neural_foraminal_narrowing_l3_l4,left_neural_foraminal_narrowing,0,-0.24855824120928402,0.0,0.39135805813781277,0.36549190366036194,0.3348197961758844,0.3193531422561136,0.4031441429130206,0.37805547926393845,0.23720656568064646,0.18823529411764706,-0.40238804210905044,0.011949178178884743,-0.5018749008253994,0.004152491494896938,-0.41427347187061325,0.009810827128194808,-0.2836414062439958,0.034695768557603215,0.6336702176794584,0.42887654848355405,0.961931673748875,0.8571296381974646,0.259210799620613,0.2099813376678105,0.628433117620469,0.4148748678181177,0.3327663641178483,0.21451447217354522,0.2634166449538572,0.2093988807990854,0.17301475455934281,0.2431013219864812
