sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
8785691_481125819_8_spinal_canal_stenosis_l1_l2,spinal_canal_stenosis,0,0.0,0.20005580357142858,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20079320790816327,-0.2279210318140842,0.03784706064836358,-0.1260156388818012,0.05575132803871036,-0.1823932008197888,0.04454389342769423,-0.11243585006287271,0.06847641308967276,0.5415817950635563,0.39345969589668817,0.922909809815118,0.7828906458203785,0.3334602877529621,0.306522869022869,0.6129522917748071,0.4365471333476487,0.34515816510007363,0.27294594252437016,0.3224443015269148,0.285230395602991,0.16198272863032567,0.24567016206605435
8785691_481125819_8_spinal_canal_stenosis_l2_l3,spinal_canal_stenosis,0,0.0,0.2000358737244898,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2001155931122449,0.10993617042791867,0.11331743302457152,0.14114064210743077,0.128210893148221,0.10517298225174132,0.10681003584229391,0.19845058962457554,0.14021239139076608,0.6156966854041073,0.46229508196721314,0.9176782288779811,0.7833659143415674,0.3101353830825485,0.29497516609688446,0.5974330472560556,0.43603319977103605,0.365990452164459,0.2907290729072907,0.31926363394752566,0.30152350081037277,0.2453931876762896,0.27050747988191925
8785691_481125819_8_spinal_canal_stenosis_l3_l4,spinal_canal_stenosis,0,0.0,1.0,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20009566326530612,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20009566326530612,0.5782617172380745,0.43265043900349776,0.9431909269566952,0.8297018871364755,0.358501680501105,0.34155306067896285,0.6203888553962251,0.46272137599300345,0.368383369114795,0.33958361137061255,0.33960737409126185,0.3315866277527196,0.2138889282198771,0.3558642941766372
8785691_481125819_8_spinal_canal_stenosis_l4_l5,spinal_canal_stenosis,0,0.0,1.0,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20051419005102042,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20051419005102042,0.6553435389970423,0.4897565320665083,0.956396886191386,0.8441606174767987,0.3932339668745004,0.3001229216536197,0.686916741895841,0.5142598460842009,0.4547434580573873,0.3568293835662683,0.40527446748018253,0.3100391134289439,0.23679393729975595,0.361078191904137
8785691_481125819_8_spinal_canal_stenosis_l5_s1,spinal_canal_stenosis,0,0.49119326435179145,0.2696053630154313,-0.04994290383620021,0.0650997453310696,-0.007268368018563205,0.059310854308479766,-0.02273677730554698,0.07135233215924859,-0.0287347737355372,0.078116611188661,0.06802236157943409,0.20395920815836832,0.05442694866046031,0.2058399423215573,0.07850968139333238,0.20641981245491706,0.1552152060423074,0.17150026258971815,0.7059190725427131,0.5453915453915454,0.9564603208694432,0.8708053691275168,0.40569299225464506,0.368413877717947,0.72279235768063,0.5477751214621732,0.4384615200205583,0.3928125433606216,0.4151982007053414,0.3672023971669845,0.29221394021365393,0.29490699905028267
8785691_1570286759_4_right_neural_foraminal_narrowing_l1_l2,right_neural_foraminal_narrowing,0,0.6278414740620496,0.20001594387755103,0.385175521110042,0.19999601403061223,0.43361960674209876,0.19999601403061223,0.3801176210644514,0.19999601403061223,0.40210263063372054,0.20075334821428573,0.2898884986171632,0.2525586620069895,0.29721634725162227,0.27572618063942034,0.2955766801852527,0.2520898315658141,0.3450938416091042,0.2942653021818884,0.7917688097210893,0.6182873730043541,0.9496194345869124,0.8295350957155879,0.5522944545152423,0.4312762474197452,0.7770459668598003,0.6032912605847579,0.581951909245413,0.46602508019830857,0.5457776437476838,0.42407932011331445,0.510339362663443,0.3631927791742569
8785691_1570286759_4_right_neural_foraminal_narrowing_l2_l3,right_neural_foraminal_narrowing,0,0.0,0.20001594387755103,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2009327168367347,-0.199919521634727,0.038495369172660006,-0.18669068456813565,0.03560187812806357,-0.18959719334138125,0.04059518871837412,-0.16615130680579737,0.04541675327374766,0.6228836664113264,0.4381941956288069,0.9516791211819856,0.8180994655312981,0.4695978092840178,0.3555016508321542,0.6529797052787831,0.4624016321772078,0.5740583960783241,0.3514947934161908,0.48376230143194104,0.35806386282319586,0.20084015288775578,0.2629867661671881
8785691_1570286759_4_right_neural_foraminal_narrowing_l3_l4,right_neural_foraminal_narrowing,0,0.47516995546889185,0.2001953125,0.3864785395825404,0.19999601403061223,0.27983916770926776,0.19999601403061223,0.3780137894527325,0.19999601403061223,0.3309304928209752,0.2000358737244898,0.14124991236577966,0.2028994189181094,0.08482337919299518,0.13877388986559291,0.14091975236274443,0.19995219313971554,0.22209515267366411,0.19628283791028772,0.5755645699061269,0.3677252282949434,0.9521282908846955,0.8453475542478852,0.380104895717903,0.3499226578788083,0.5897249368190051,0.3812801101169993,0.38881070239898924,0.2721510964634301,0.3827708382309038,0.3427883328873428,0.380574958372481,0.2864895032026294
8785691_1570286759_4_right_neural_foraminal_narrowing_l4_l5,right_neural_foraminal_narrowing,0,0.0,1.0,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2000358737244898,-0.14754467743610986,0.19999601403061223,-0.14973597059717986,0.19999601403061223,-0.17569118208511136,0.19999601403061223,-0.09582337624096691,0.2000358737244898,0.6190515941975033,0.45751633986928103,0.9356664147948816,0.7737516570923553,0.4163455257503135,0.31069609507640067,0.6617758197857231,0.5004485645933014,0.4014771416353513,0.3184445612191277,0.4248932944149953,0.3116382408678037,0.1926943056146267,0.3515028860233949
8785691_1570286759_4_right_neural_foraminal_narrowing_l5_s1,right_neural_foraminal_narrowing,0,0.0,1.0,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2001953125,0.1626059294028442,0.19999601403061223,0.1798453969390626,0.19999601403061223,0.13434772360571504,0.19999601403061223,0.15888141335945224,0.2001953125,0.6295359631755577,0.47856195668189183,0.9425502175341515,0.8090859924283397,0.5449818166503893,0.388178361562392,0.6754252672129438,0.5127760609029924,0.5568746333329849,0.3950257051549257,0.5371761641874797,0.3841593713379748,0.30148163502670544,0.37121027715014604
8785691_1570286759_10_left_neural_foraminal_narrowing_l1_l2,left_neural_foraminal_narrowing,0,0.0,0.20001594387755103,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20057397959183673,0.03701494892887589,0.11425081885305058,0.003434137999889962,0.10571837814014985,0.03757000031253737,0.11747675519180446,0.1525945661470083,0.09002169197396963,0.690410053393259,0.5439649203784906,0.9527533226472786,0.8722014925373134,0.37816933672758524,0.395376284365454,0.7240386677676179,0.5690720037526386,0.47031856241942294,0.4441011639603391,0.3852104400041993,0.40131074391689325,0.25543426908984496,0.3102714812420885
8785691_1570286759_11_left_neural_foraminal_narrowing_l2_l3,left_neural_foraminal_narrowing,0,0.308522091140485,0.20009566326530612,0.1771592456934286,0.19999601403061223,0.17480428122940594,0.19999601403061223,0.1814591117754803,0.19999601403061223,0.0686194808372877,0.19999601403061223,0.08693966284655494,0.13797403775296185,0.07832226162237206,0.11639417194972751,0.10446439904332946,0.14179274257763622,0.15520284196174366,0.1672190243618815,0.6260694288594862,0.4060529634300126,0.9402554549786869,0.8134995933857414,0.41847492540777986,0.3109079033311561,0.638064592509002,0.41278333098690695,0.4478774050687275,0.2816910402963152,0.435174333326367,0.31848640126133226,0.3227606344200092,0.27379206191476174
8785691_1570286759_11_left_neural_foraminal_narrowing_l3_l4,left_neural_foraminal_narrowing,0,0.5965504395869194,0.4126626802673232,0.38358660737264844,0.32755884686590847,0.2965484948147412,0.2245669675530617,0.3459308298302994,0.2985383520889924,0.24000537065957459,0.23979528918485632,0.143179826283605,0.22943590371776812,0.09172109475133146,0.15767922025491665,0.12004294633114089,0.2123573111070846,0.17535090339652282,0.20400095831336848,0.6355946232875286,0.41987973116377786,0.9422131402996549,0.819088189975528,0.31916532235977146,0.2976305765381884,0.630480238530564,0.42593250444049735,0.3559331108732657,0.27281362801595843,0.3121804655399584,0.2922077922077922,0.372565560927835,0.32227653011300156
8785691_1570286759_11_left_neural_foraminal_narrowing_l4_l5,left_neural_foraminal_narrowing,1,0.7075067099544838,1.0,0.3675752656174089,0.19999601403061223,0.38995785395994004,0.19999601403061223,0.3591091129205689,0.19999601403061223,0.35213224783790864,0.20065369897959184,0.12609206329706554,0.19999601403061223,0.14690671308701625,0.19999601403061223,0.11346420522317602,0.19999601403061223,0.10761711498512963,0.20065369897959184,0.7117407814389187,0.533934576582085,0.9530737441612149,0.8230538650195295,0.44237119936307184,0.3157274690752013,0.7059550554152995,0.5242652084757348,0.4487479770987303,0.34163107314468766,0.45194717369078125,0.32134875772314975,0.4256131478700476,0.36408296214421637
8785691_1570286759_11_left_neural_foraminal_narrowing_l5_s1,left_neural_foraminal_narrowing,1,0.0,0.20001594387755103,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2004344706632653,0.20732543953737143,0.24990658861626602,0.18110896782849636,0.2475758329189458,0.20972340320870736,0.2453310169386362,0.09631321373882461,0.22480950929594637,0.6842945567709398,0.5455105498228862,0.9542789690629203,0.8451778983175507,0.462625758542856,0.42597586941092974,0.7154715922468546,0.5742411169503491,0.47184532557949993,0.4164258019034191,0.452940790551705,0.41732505643340856,0.29572853447121167,0.346181179816066
8785691_2406919186_3_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,0.2980791271278403,0.20009566326530612,0.37706008298004057,0.19999601403061223,0.34571925330224074,0.19999601403061223,0.38145885886593567,0.19999601403061223,0.3751031205638464,0.20005580357142858,0.01263313300660808,0.1372004758398006,0.0323246072735383,0.13572075130119937,0.010809099042347944,0.1378450376920025,-0.04875646019088045,0.08741334488734835,0.5624875005095894,0.4007537688442211,0.9614497697264865,0.8450082735797021,0.37675489778750104,0.3246007654744622,0.5576076065044171,0.40036282444878596,0.32463433607284403,0.29478165516351673,0.3698181448993819,0.32889771598808343,0.32914553849811584,0.27284827480984625
8785691_2406919186_3_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,0.18955315731389114,0.20001594387755103,0.41135925394827677,0.19999601403061223,0.3907293462976422,0.19999601403061223,0.4108892921902765,0.19999601403061223,0.4087692793051442,0.2005341198979592,-0.0023162144547294655,0.07211153250360558,-0.04156224374962139,0.0676631735730624,-0.013812143956803054,0.07056752720290164,0.07035173729808458,0.08608484193461227,0.5613638737541072,0.4068414411888406,0.9736401014380573,0.8861009303636876,0.3614965246419029,0.34464070654355683,0.5833556689516114,0.4201811491650156,0.3263459347375604,0.30899498469354525,0.3536933386129163,0.34392135883375685,0.3322571270885544,0.26717638345799544
8785691_2406919186_7_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,0.0,0.20001594387755103,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2008330676020408,-0.1345367623387064,0.028965446529273044,-0.12105388566693462,0.03817307194951637,-0.14176160541514257,0.030762119967132292,0.03213692323435699,0.035205105769725666,0.5958182046869435,0.4295890020656742,0.9487719473809009,0.7897271268057785,0.43170488873726764,0.3658404074702886,0.6321502292574483,0.46656923639020825,0.4102406673515494,0.3602975989178221,0.4157004072640205,0.3561699258260283,0.20461140096611358,0.26014240635085834
8785691_2406919186_8_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,0.0,0.20001594387755103,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20005580357142858,0.06670305765841979,0.13794080961560268,0.050822533269578515,0.1388447571493418,0.059723731405042516,0.13248321390283813,-0.05197012272663074,0.10012604811749877,0.6226007583191491,0.4402583423035522,0.9637061236681754,0.8490878938640133,0.4483351516130577,0.38139150781088704,0.6727172453821636,0.4740011750881316,0.4695890415195873,0.38875051888750517,0.44322274304084974,0.38635264866358177,0.24969668420995952,0.2952864469962513
8785691_2406919186_11_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,0,0.0,0.20051419005102042,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2002750318877551,-0.16256599139080666,0.028086151327569447,-0.2348466693701018,0.02761300879525465,-0.17257968615661465,0.026615581098339718,-0.11015344680764493,0.03879332610155483,0.681099265921593,0.491971454058876,0.9666645861490847,0.8504517794578647,0.4643018347897281,0.39773122694689955,0.713528006637347,0.5150600135879821,0.43563516961397364,0.3782596760911337,0.46212185381371146,0.3903772931810315,0.2028803282133513,0.2763824516451413
8785691_2406919186_12_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,0,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.2004344706632653,0.06955075783642917,0.13537364937489393,0.028142091431343507,0.1355021216407355,0.06552584668117828,0.13364211477632174,0.04999209046020585,0.11653237010280633,0.714405840836818,0.5209154289178539,0.9710975966363068,0.8629908103592314,0.5096673951159978,0.3640190088255261,0.7114869126989325,0.5208001818595135,0.5016012109911416,0.35674252143966506,0.509327145969243,0.36941112322791714,0.27538645924383975,0.30108985715401193
