sample_id,condition,label,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
11943292_403244853_7_right_subarticular_stenosis_l1_l2,right_subarticular_stenosis,0,0.7884539050322049,0.6945288753799392,0.24971392585727661,0.3086854460093897,0.3364336800804765,0.22035753374680772,0.08970190736400876,0.19985651939977284,0.4013352566892418,0.2895125553914328,0.35476900336956363,0.30206305955624757,0.3678364680127227,0.2192454893384363,0.16002819235832225,0.19521200571700809,0.4099429555536102,0.294667612354117,0.2516580290800572,0.1977798997374075,0.5223346236680677,0.3016408327388287,0.22664543563145795,0.25017122221530413,0.3187628334852798,0.22564885496183207,0.3691653325879217,0.22187062617903,0.1913571266684033,0.2009689574735331,0.3358759116959076,0.2748139660132725
11943292_403244853_8_left_subarticular_stenosis_l1_l2,left_subarticular_stenosis,0,0.8727729606968676,0.6963908376299552,0.2498532079196823,0.297182006204757,0.21686282643031773,0.18820673731573026,0.21190368386081132,0.2433403543550985,0.2421051149675105,0.17190053700677096,0.2988386814940995,0.2965953872989211,0.14298649625155233,0.1717655301261093,0.24899816623212248,0.2518712574850299,0.1944426194473814,0.15160032121142594,0.20160371529852694,0.17913166088948945,0.543243829449422,0.321612011062821,0.0781311496361419,0.16992016782238797,0.3263677611206855,0.24011369253583786,0.3014080118822899,0.2222695726287593,0.18826660660483413,0.18988917205002073,0.28785232208614975,0.25278594970820767
11943292_403244853_15_right_subarticular_stenosis_l2_l3,right_subarticular_stenosis,0,0.8850345664218957,0.8347190497944267,0.3250941078749413,0.2819366377107818,0.18066314156904914,0.1566390041493776,0.18087364043521642,0.19457175168144752,0.48456792989282027,0.2731540218218726,0.33486186809149254,0.2741751269035533,0.2038720983049268,0.15847467405099805,0.19943316724472424,0.19865098788276728,0.4511924087362172,0.2616070867625809,0.15631008820882378,0.15577310682407142,0.45204936824598013,0.26313802001384606,0.19077276430204942,0.19978479196556673,0.2842341401807215,0.20222834551335808,0.16756170376282203,0.1707402438313014,0.09769984684191091,0.16166001041847544,0.30628138934090615,0.25248352395496165
11943292_403244853_16_left_subarticular_stenosis_l2_l3,left_subarticular_stenosis,0,0.6813011491829761,0.5979299363057324,0.11994447524326082,0.21540604372312724,0.25085546847057527,0.21724890829694324,0.17796364326429315,0.19017968333036825,0.19612134956944058,0.21637002058360577,0.304729235887005,0.25124688279301743,0.34480604702207224,0.21865322727548728,0.27209433355483587,0.20014351491957186,0.40230669766350935,0.22355520370257598,0.22110890423692664,0.19067394399620313,0.4641014130962868,0.27412392077196546,0.17188132745002896,0.2018183993300634,0.3799720847069472,0.26178800452659373,0.27886858478895854,0.23301626265725683,0.23001303306094267,0.2129920309104081,0.299737849813204,0.24700973220819475
11943292_403244853_24_right_subarticular_stenosis_l3_l4,right_subarticular_stenosis,0,0.8189725834222,0.8482200349553859,0.21071923326324093,0.25629963108860127,0.21057406287200486,0.2160019366943049,0.20648337521750812,0.22954531546416987,0.391260683464559,0.43812995925369935,0.19598913779123653,0.23751387347391786,0.2608186062202736,0.23484895096289915,0.2920809798590446,0.24003707136237257,0.4081771224422076,0.4626974306718102,0.08152563644089171,0.1373037910126367,0.3207564642667475,0.22572370831806524,0.13814688141706347,0.19158019567150905,0.34524581017891837,0.24441964285714285,0.276856297506184,0.2568640940646695,0.239495672719325,0.27037107276060435,0.29314016980542706,0.2993037805741192
11943292_403244853_25_left_subarticular_stenosis_l3_l4,left_subarticular_stenosis,0,0.9354637129758828,0.8993091700577269,0.007380382723996626,0.18757396449704142,0.2128965259980551,0.2030931542980458,0.23181269466251428,0.23348288365804193,0.4148873953539971,0.38327934385553797,0.03829338315305816,0.18428040361125864,0.1711395500050174,0.19806590257879655,0.20121151263110898,0.2281238526496145,0.3794745360081847,0.4090143218197136,0.03578414307833444,0.124873893061316,0.30962822957856506,0.22744786251605406,0.07616506488493291,0.17135520018676317,0.32180076634077087,0.22647274505011,0.21778899216995973,0.175402635431918,0.1681528458125797,0.16584374092361312,0.2481253156917972,0.2678412716130367
11943292_1212326388_3_right_neural_foraminal_narrowing_l3_l4,right_neural_foraminal_narrowing,0,0.8216495282491949,0.4747593504298626,0.08044856114736408,0.16449086161879894,0.10433075978578292,0.14751286449399656,0.12283928548180237,0.16523455643288434,0.2109774577202253,0.24372715445139706,0.05107911825285355,0.20403143559901613,0.21861128375488467,0.17781690140845072,0.18325624258819748,0.2398838574164453,0.30207335080035347,0.3209844048167401,-0.07389740322421938,0.10268666556782595,0.31671110767942023,0.2202091439688716,0.011857785485280136,0.13836121349588887,0.3669959305019925,0.22430305618251692,0.1289083780469369,0.16912235746316465,0.13547846953015344,0.18227326266195523,0.19875465705334816,0.21169313906718765
11943292_1212326388_3_right_neural_foraminal_narrowing_l4_l5,right_neural_foraminal_narrowing,0,0.943699409298786,0.8487472365512159,0.1396965095091295,0.26816630860609125,0.2542065153639882,0.16327595200834638,0.1294335607864312,0.23492493231602266,0.2969862166103704,0.16848710202184522,0.16461605153516423,0.2647299766841011,0.29125125454393985,0.17005771585145454,0.1527726690787662,0.22977941176470587,0.2854262671990577,0.1804202371170325,-0.06632306016594461,0.09996711608023677,0.3833128113441418,0.24604209349972062,0.060548486380344275,0.14350693654764612,0.2608942936581084,0.17712609970674487,0.11520460867242427,0.14801073120611907,0.0012701742664452359,0.11294338996181727,0.22753305120541018,0.23041234932820664
11943292_1212326388_3_right_neural_foraminal_narrowing_l5_s1,right_neural_foraminal_narrowing,0,0.9071083383521065,0.7432467645270564,-0.08558985481009802,0.15305067218200621,0.3118222943982481,0.23424143656601684,0.2416375409968502,0.22699761569970042,0.32422119879163774,0.28173414089894805,-0.019585591548605234,0.17087684499154074,0.29396002848162245,0.22880058776709727,0.25106181066693034,0.2514809503024256,0.3830015612692266,0.34385026737967916,-0.1060635977459841,0.08633288227334235,0.29147315442420113,0.19985651939977284,0.014312557579340206,0.12156206415620642,0.3549307460306779,0.24495999007505737,0.26804169845098036,0.2076650447528083,0.16796850567395982,0.2227222965575964,0.23988669273407298,0.24782520516861695
11943292_1212326388_4_right_neural_foraminal_narrowing_l1_l2,right_neural_foraminal_narrowing,0,0.9624651337049331,0.8,0.14201740534862362,0.21636363636363637,0.2553085635074398,0.19116861534809187,0.134946206230452,0.17892387218045114,0.42523834395307736,0.3926490984743412,0.12260278508876103,0.20258853136796692,0.3035273820229336,0.19956966110812266,0.1761254792154353,0.17754048345458812,0.42702377854095347,0.411243851018974,0.04999125034656152,0.12072816618271164,0.3556366456583211,0.22752293577981653,0.09982630808766686,0.18212856133741465,0.40808690658781,0.23827739387956565,0.337239497362976,0.19949826782941107,0.22739046333780982,0.19336819586403614,0.29516174326625033,0.2621047513459419
